Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Congo, Dem. Rep.",-2.196742058,-2.21298933,-2.085892916,-2.192190647,-2.167921305,-2.138853312,-2.224589348,-2.339438915,-2.080746651,-1.624438524
"Congo, Rep.",-0.316415846,-0.35430038,-0.489689857,-0.475050122,-0.359291583,-0.5291273,-0.523459077,-0.533614933,-0.348402858,-0.299301684
Colombia,-1.537184834,-1.284655571,-1.401810408,-1.291971803,-1.114594102,-1.072663784,-0.887163997,-0.779457688,-0.806959629,-0.979467273
Comoros,-0.562939286,-0.552736104,-0.452308029,-0.256929189,-0.186910167,-0.24447161,0.022001922,0.022407399,-0.361675262,-0.17683351
Cabo Verde,0.840972781,0.722605228,0.809086382,0.777999878,0.350779146,0.855819821,0.87119019,0.762864292,0.833078504,0.859521031
Costa Rica,0.691537201,0.508276045,0.638402462,0.677918017,0.577418208,0.669974029,0.648553014,0.597006142,0.453240991,0.430242807
Cuba,0.349292427,0.280382127,0.307248294,0.37056464,0.544822037,0.634750009,0.673131645,0.638509929,0.640438855,0.610411108
Curacao,,,,,,,,,,
Cayman Islands,1.149637938,1.336360812,0.959384382,1.017615318,1.04634726,1.1286937,1.1407758,1.162609696,1.110623479,1.401382208
Cyprus,0.452444822,0.607984483,0.635126054,0.563347161,0.551882088,0.542449117,0.593786836,0.530973077,0.484394073,0.544513285
Czechia,0.989233732,1.109117627,1.054106116,1.084778547,0.989990473,0.970251083,0.963384211,0.990649343,1.02620995,0.941883624
Germany,0.796834469,0.842218459,0.775621295,0.92798388,0.925186455,0.687514961,0.667541146,0.574380219,0.577707589,0.548454642
Djibouti,0.253481269,0.177703246,0.160619214,-0.102187522,-0.77023226,-0.44767192,-0.628553987,-0.733945012,-0.133512378,-0.343412548
Dominica,0.903117776,1.139158607,0.980585456,1.119856238,1.05717814,1.054432034,0.9776631,1.172775149,1.068851233,1.029823542
Denmark,1.040961027,1.10029304,0.914910674,0.959233463,0.951779723,0.887059271,0.852912426,0.854936242,0.931788921,0.967484951
Dominican Republic,-0.044954035,-0.00048185,0.252366811,0.207428694,0.145934492,0.227570921,0.241259411,0.15207319,0.012199945,-0.003159933
Algeria,-1.259367585,-1.360560656,-1.325043321,-1.202371478,-1.190535188,-1.090786576,-1.099741936,-0.919614136,-0.84212178,-1.055829883
Ecuador,-0.586674452,-0.686557531,-0.57030648,-0.178656712,-0.018533209,-0.147344977,-0.091710433,-0.078932591,-0.094810791,-0.238249406
"Egypt, Arab Rep.",-0.898418307,-1.437057018,-1.436329722,-1.6388309,-1.631176591,-1.49933219,-1.43972683,-1.429645181,-1.188100696,-1.124602079
Eritrea,-0.875592828,-0.76640439,-0.702197254,-0.772372127,-0.805872619,-0.878453434,-0.662282407,-0.733444393,-0.609398246,-0.705968618
Spain,-0.318043739,0.021104537,-0.029516449,0.012017759,0.243121743,0.241160139,0.402214497,0.270845115,0.275779158,0.292700946
Estonia,0.661366999,0.611041307,0.636465192,0.748215437,0.780257881,0.613857269,0.662796259,0.642369628,0.580257714,0.630106986
Ethiopia,-1.635101199,-1.50696373,-1.564271331,-1.407307386,-1.339387417,-1.496942043,-1.617245197,-1.677229643,-1.274579644,-1.303721905
Finland,1.423606873,1.393471003,1.400765181,1.385172486,1.282197237,1.027998209,0.982591867,1.063806653,0.891700327,0.835154116
Fiji,-0.190827519,-0.071288198,-0.067774832,-0.051027689,0.553164601,0.569660664,0.897029459,0.586045206,0.833207309,0.779773772
France,0.681087554,0.602992833,0.554941535,0.448744118,0.300568491,0.097759806,-0.106349595,0.265700728,0.0137935,0.271274894
Faroe Islands,,,,,,,,,,
"Micronesia, Fed. Sts.",1.209316969,1.101389408,1.150869846,1.102858543,0.984550714,1.017171502,1.036456466,1.161632657,1.315120697,1.034340501
Gabon,0.299279243,0.384890914,0.29329142,0.330102742,0.149542809,0.015247292,-0.110105984,-0.105891399,-0.257414043,-0.075141385
United Kingdom,0.411818206,0.351707608,0.402270734,0.486201435,0.415347636,0.503706396,0.347932637,0.380708188,0.077564575,0.52747041
Georgia,-0.718320906,-0.656951964,-0.680453956,-0.441366166,-0.321507543,-0.472153753,-0.320115089,-0.375215024,-0.447616845,-0.498185903
Ghana,0.026093241,0.167112142,0.130694985,0.060606085,-0.106807962,-0.038228907,-0.138907716,0.082036331,-0.036738522,0.118470922
Gibraltar,,,,,,,,,,
Guinea,-1.687079072,-1.388054013,-1.287012458,-1.229851723,-0.955242753,-0.386475414,-0.396070927,-0.69907409,-0.880607545,-0.84259665
"Gambia, The",0.065416984,-0.000270605,-0.000778838,-0.048636407,-0.151400715,0.016247632,-0.442044199,-0.094831444,-0.08758685,0.214429125
Guinea-Bissau,-0.690954328,-0.753625989,-0.965295851,-0.899927616,-0.706451654,-0.516579092,-0.445275575,-0.497683495,-0.684850454,-0.561577141
Equatorial Guinea,0.236128226,0.150343806,0.232703447,0.120355181,-0.374146551,-0.207799196,-0.14674297,-0.172020316,-0.090242371,-0.147936091
Greece,-0.127206877,-0.098695189,-0.217248693,-0.171341717,-0.140445963,-0.235559732,-0.129703641,-0.081244558,0.153864294,0.1623694
Grenada,0.518380046,0.360115409,0.492649019,0.426174343,0.774568856,0.779747725,0.998592257,0.992373705,0.968616605,0.937967896
Greenland,1.645201087,1.940006495,1.934407234,1.931952834,1.924541116,1.947082162,1.964210629,1.927581429,1.936508656,1.887186527
Guatemala,-0.852924466,-0.7441414,-0.633820176,-0.674156249,-0.655563533,-0.6544379,-0.545003712,-0.651365459,-0.538192272,-0.577349424
Guam,0.395871073,0.791545987,0.780917645,0.798485518,0.750133276,0.786707044,0.652095139,0.678459287,0.697025716,0.883918047
Guyana,-0.458965749,-0.434282511,-0.49961406,-0.456606746,-0.136097595,-0.139641345,-0.034218926,-0.049440727,-0.191917717,-0.254104406
"Hong Kong SAR, China",0.935810566,0.94859612,1.006289482,0.922868311,1.153228521,1.035205364,0.736158371,0.818202198,0.776450574,-0.228379548
Honduras,-0.496909589,-0.390435368,-0.350115597,-0.438611597,-0.534083962,-0.472757906,-0.437456161,-0.565637231,-0.531866431,-0.569066167
Croatia,0.608463645,0.62374711,0.606891453,0.64266789,0.619112372,0.586513638,0.654191136,0.681904495,0.793498814,0.685416102
Haiti,-0.940315425,-0.990167558,-0.788092673,-0.63101536,-0.643627286,-0.671565056,-0.745547473,-0.676077306,-0.640176177,-0.887624741
Hungary,0.685783744,0.743254066,0.67579478,0.796646118,0.669904828,0.737792492,0.64338094,0.796199262,0.737417698,0.761821568
Indonesia,-0.853916168,-0.770114183,-0.593262792,-0.519264638,-0.416824043,-0.619956315,-0.379699737,-0.5049389,-0.552077413,-0.502156675
Isle of Man,,,,,,,,,,
India,-1.2779845,-1.32679534,-1.289309859,-1.229174137,-0.99791199,-0.954773545,-0.960426509,-0.774099052,-0.997705162,-0.796840608
Ireland,1.020165324,0.948998928,0.941072702,0.901075721,1.052991152,0.895332575,0.833849669,0.99340868,1.011168242,0.95930326
"Iran, Islamic Rep.",-1.630591869,-1.421767712,-1.323926091,-1.249686599,-0.874987662,-0.924846888,-0.814020634,-0.933828712,-1.342144251,-1.711465359
Iraq,-2.239267111,-1.846983552,-1.934050202,-2.011390448,-2.480337858,-2.250779629,-2.303333044,-2.295948267,-2.520958185,-2.609148026
Iceland,1.022253633,1.244009733,1.245032072,1.287133694,1.246974587,1.298480988,1.346588731,1.337684989,1.394577146,1.61964798
Israel,-1.341151714,-1.201318026,-1.07890439,-1.101284742,-1.039735317,-1.097817302,-0.799367249,-0.894905567,-0.918106616,-0.8155604
Italy,0.473923683,0.501207411,0.508217514,0.495499194,0.458165407,0.3632572,0.355933428,0.292909652,0.32613951,0.381040454
Jamaica,-0.429541469,-0.062983334,0.120508112,0.182374373,0.024492532,0.085965723,0.29546842,0.298302531,0.423851728,0.388235539
Jordan,-0.31249252,-0.513562262,-0.523977637,-0.606315255,-0.540025532,-0.60686487,-0.496246248,-0.434904039,-0.379783809,-0.274439603
Japan,0.879353166,0.995091975,0.948442876,1.019141912,0.968597353,1.054220557,0.968189001,1.100126505,1.037358642,1.019695044
Kazakhstan,0.522971809,-0.338570565,-0.408455014,-0.402473897,0.036018156,-0.038353074,0.001462973,0.024372295,-0.052698813,-0.167979881
Kenya,-1.165523529,-1.244790792,-1.323441267,-1.166930914,-1.282247186,-1.241347909,-1.354456544,-1.128438354,-1.179692149,-1.105736017
Kyrgyz Republic,-1.039652348,-1.098030686,-0.911251366,-0.911773801,-0.804615676,-0.882429659,-0.65201968,-0.362933785,-0.529558122,-0.266192228
Cambodia,-0.50098443,-0.304419667,-0.103577204,-0.136436149,0.023174802,0.063348144,0.20619081,0.093508989,0.110811263,-0.075531386
Kiribati,1.422731638,1.302488327,1.290351152,1.28392601,0.801865816,0.821486235,0.846926332,0.855434954,0.998590291,1.124233007
St. Kitts and Nevis,1.036112189,0.957588255,0.975788057,0.958863378,0.572488189,0.564717531,0.606805444,0.628548622,0.677222848,0.700797915
"Korea, Rep.",0.325895816,0.412495643,0.267103314,0.278578639,0.108568802,0.156361043,0.153576508,0.38189283,0.638081014,0.546021044
Kuwait,0.451988816,0.311102718,0.203606218,0.16605559,0.149006546,-0.219549298,-0.056500711,-0.051229637,0.090533733,0.175113589
Lao PDR,-0.282062978,-0.058007225,0.03373903,0.0674439,0.498692989,0.538871527,0.524906516,0.394011855,0.407829285,0.530268252
Lebanon,-1.62501502,-1.558287501,-1.664812326,-1.690353394,-1.697941303,-1.698364496,-1.615684032,-1.622226834,-1.621535778,-1.67229104
Liberia,-0.46852529,-0.42737025,-0.484476507,-0.475507081,-0.615449607,-0.817833304,-0.441768199,-0.320534796,-0.203764617,-0.339135408
Libya,0.028088447,-1.287379265,-1.58695972,-1.844076514,-2.353407145,-2.189651251,-2.274737835,-2.353574753,-2.43496871,-2.565771341
St. Lucia,0.790275514,0.849078357,0.893705666,0.853357732,0.816450417,0.837734759,0.998592257,0.974609792,0.993263125,0.906494319
Liechtenstein,1.54408741,1.490579605,1.389199615,1.397171617,1.458861828,1.437775135,1.453269958,1.459082961,1.453585505,1.597493172
Sri Lanka,-0.942946851,-0.72477144,-0.717079222,-0.612895429,-0.330464035,0.083182663,-0.01134005,-0.07544852,-0.139389724,-0.215569809
Lesotho,0.456775397,0.383940756,0.274199098,0.338074297,-0.332812041,-0.318707615,-0.244855866,-0.194125235,-0.188686535,-0.427999049
Lithuania,0.715260625,0.671200335,0.786209881,0.964532316,0.742136419,0.749750257,0.814721227,0.76556474,0.729063928,0.77052319
Luxembourg,1.461218596,1.317426801,1.331918836,1.335248113,1.378323793,1.426368237,1.403617144,1.31289196,1.347255111,1.333174944
Latvia,0.527854025,0.320002139,0.453626722,0.593635261,0.487268358,0.43631041,0.467219561,0.452953696,0.395304829,0.426793516
"Macao SAR, China",0.573578119,0.607760489,0.628785551,0.757722914,1.206168532,1.187453151,1.390567183,1.407128215,1.229578137,1.215290904
St. Martin (French part),,,,,,,,,,
Morocco,-0.383013308,-0.392256796,-0.470458776,-0.493017614,-0.446265608,-0.344394982,-0.317617774,-0.3780891,-0.348556757,-0.345829725
