Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Fiji,50408953.71,60785527.47,59221516.41,58108276.9,74787941.13,42617557.6,54411608,75276555.01,81378313.57,79022198.98
France,52044060565,54120871010,50216507403,52001462448,53134750899,45647471641,47370589553,49195662250,51409812839,50118929212
Faroe Islands,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,
Gabon,268738503.9,265965337.6,278143957.1,282163387.6,208124773.3,170374503.3,202815390.7,267430770.8,261217395.1,266879196.1
United Kingdom,63979111970,66569552573,65452487554,63837724855,66995468654,59990205719,53327366088,52075008432,55832916405,56567602041
Georgia,454178215.2,468779626.8,491982529.4,441878927,415643210.9,299514176.3,315194446.3,321136644.6,333912381.8,310614128.5
Ghana,122480468.5,234327479.6,337260972.7,254997057.4,252653833.7,190540362,161751874.3,189129841.5,218444253.6,233320137
Gibraltar,,,,,,,,,,
Guinea,,,168913357.5,196818705.6,196945589.8,221414232.3,161856744.5,181637775.9,197079526.4,197754330.7
"Gambia, The",,,11173079.86,10378890.69,14599970.28,14288131.91,,,11487224.94,14456446.2
Guinea-Bissau,17129808.17,17519804.35,24491750.68,21710792.65,21470831.21,17036957.29,15730078.47,19021935.35,21198429.49,22571242.31
Equatorial Guinea,,,,,166540270.5,137262659.6,139200817.6,136210361.4,149498690,148636933
Greece,8163619387,7128608267,5914988423,5655183036,5531285909,4818121326,4963484464,5088178883,5757114361,5383116883
Grenada,,,,,,,,,,
Greenland,,,,,,,,,,
Guatemala,169798840.1,197433150.7,224366543.6,249757853.4,245672875.9,252455480.6,290912704,275014798.5,273114976.8,331882551.6
Guam,,,,,,,,,,
Guyana,31075055.49,32416747.54,33542606.6,35163485.79,39280967.47,46430508.47,51562130.82,59510895.88,61745465.96,67206937.71
"Hong Kong SAR, China",,,,,,,,,,
Honduras,170186979.7,200358405.9,212341274.3,294917779.4,314071900.2,356266321,363272338.5,398460128.4,385320064.2,407390257.8
Croatia,1015876654,1106464042,955320163.6,956952644.1,1063469743,883162983.3,836685042.1,920837052.9,966358716.8,1001812141
Haiti,0,0,0,5159584.748,5351159.51,7356229.689,6451431.661,7361349.246,13968388.16,11301748.95
Hungary,1350820413,1472069832,1322277703,1280050962,1209801890,1132476292,1288676093,1702635637,1615618734,2190628592
Indonesia,4663365759,5838026186,6531097955,8384028601,6929248704,7595030528,7396626075,8797528450,7493744633,8154244768
Isle of Man,,,,,,,,,,
India,46090445657,49633815794,47216920048,47403528801,50914096277,51295483754,56637622641,64559435281,66257801718,71468900524
Ireland,1274228688,1300331547,1157531730,1195763444,1192733691,997005656,1001610418,1025063447,1107137377,1112740708
"Iran, Islamic Rep.",13561272454,14277667361,16493963287,11997186984,9901118855,10588769671,12263957415,13931196490,11230852288,4598301891
Iraq,3752905983,4278632479,4141066054,7780188679,6923644082,9604231011,5970383698,7416385135,6317977150,7598829336
Iceland,0,0,0,0,0,0,0,0,0,0
Israel,13875211596,15100066208,14524419594,16247825942,17737375714,16457098752,17434558599,19357002461,19899819040,20339225589
Italy,32020819951,33828804971,29781008205,29957445905,27701034335,22180845070,25033027895,26447892915,28420098438,26380673981
Jamaica,115571396,133638559.8,137635505.7,128431323,121310243.5,123854135.7,137649061.8,143545555.4,209675820.9,266015074.5
Jordan,1557887324,1594788732,1472816901,1444929577,1548873239,1614929577,1769436620,1939718310,1957746479,2032112676
Japan,54655450735,60762213841,60011530195,49023932407,46903466613,42106103306,46471287714,45058468761,48535909411,50778006586
Kazakhstan,1501815344,1803970782,2177543205,2551124375,2306468865,0,1281103432,1390619095,1498378533,1853499709
Kenya,622049847.8,646678106.7,840072590,860560896.1,819042626.8,843667802.8,933103002.5,1015384782,1113648362,1116872420
Kyrgyz Republic,77237992.31,86423386.41,107529842.9,119000613.9,127971088.8,117003278.1,115645311.8,121515805.4,127148346.7,128943451.8
Cambodia,167857928,192159418.5,217305727.7,243470109.9,277974068.1,325188062.3,382205260.4,458262797.9,543204689.1,595407617.7
Kiribati,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,
"Korea, Rep.",28175181219,30991707946,31951760810,34311220715,37552298954,36570769323,36885283430,39170682136,43069973343,44102240752
Kuwait,4335204653,5393526319,5941536637,5697937802,5832103420,5735132890,6446742131,6764636914,7165279060,7373519737
Lao PDR,15356402.95,19009820.6,20327157.66,22677713.12,,,,,,
Lebanon,1585406302,1626533997,1757213930,1935718241,2270065960,2239416094,2606456908,2441074857,2775557816,2521246648
Liberia,8982000,12540500,15179000,15111500,14531000,14799000,14712000,13335500,13229000,12901000
Libya,,,2987413408,3964690154,3755652496,,,,,
St. Lucia,,,,,,,,,,
Liechtenstein,,,,,,,,,,
Sri Lanka,1532026109,1753321576,1474902628,1600841410,1914591220,2057866407,1741456650,1866534439,1638914327,1560094459
Lesotho,70661037.37,58169320.75,53240145.82,47941183.17,47693396.03,44025926.25,41489543.36,52594810.37,51064347.75,44845967.46
Lithuania,326320918.7,344605215.4,328631681.6,354862149.7,426913695.4,471221026.9,635448102.4,812106965,1056383745,1093819973
Luxembourg,247667357.6,232152414.3,214571871.3,233682396.4,252079423.1,249528668.1,235555944.7,323138029.3,355275427,381773399
Latvia,259672124.2,296834929.2,255740342.6,283568932.7,295728965.3,282688255.5,404552452.2,482461999.1,709370536.9,691894312.6
"Macao SAR, China",,,,,,,,,,
St. Martin (French part),,,,,,,,,,
Morocco,3160804832,3342698956,3402700836,4065552317,4048612524,3268363376,3327031890,3461461531,3696856945,3721323837
Monaco,,,,,,,,,,
Moldova,18335718.27,22966963.69,23870072.82,26710522.13,27565559.84,23051814.59,27431006.08,30926160.54,37404689.53,43009328.57
Madagascar,56922892.89,71989808.01,68636017.8,71877874.49,69676655.25,58932847.76,59394995.92,66906090.19,73258425.24,76576631.11
Maldives,,,,,,,,,,
Middle East & North Africa,1.25E+11,1.37E+11,1.53E+11,1.71E+11,1.83E+11,1.63E+11,1.39E+11,1.48E+11,1.50E+11,1.37E+11
Mexico,4789031339,5498458542,5717035575,6473144378,6758693845,5468837812,5336875740,5062076646,5839521271,6650808254
Marshall Islands,,,,,,,,,,
North Macedonia,130021469.1,132461994.8,119410402.5,126506348.7,124185105.7,99983659.56,103520137.3,100754692.1,119606164,146093380.4
Mali,146786545.7,161062674.6,148865779.9,153833697.7,218118403.1,309170682.2,362398902.2,460196192,481728184.5,475638185.7
Malta,58728949.93,55893126.48,49922008.91,53789438.88,56514879.92,51796606.41,59672922.99,64235888.17,66869091.04,80267577.25
Myanmar,,,2969236076,2366989085,2372895912,2552370442,2455784120,2221961060,1529364478,1532077146
Montenegro,75094861.9,79376663.82,67712201.3,64836243.08,67544018.04,56891427.3,61714551.61,65734886.38,75365603.2,73962158.53
Mongolia,54855717.51,87157848.16,113622769.9,103464069.9,105114434.9,101733069.8,96366789.84,87511743.5,96067489.86,99729483.17
Northern Mariana Islands,,,,,,,,,,
Mozambique,99189931.71,118871183,139100553.3,157892114.4,173752249,134033726.4,110463709.3,129258386.2,196535452.8,217451322.3
Mauritania,,,142299912.3,144215483.5,144844330.7,132931217.7,136064876,143769318.6,159013353,162397955
Mauritius,14874416.91,17512018.39,16662229.62,23200896.38,19744222.08,17086605.41,21999438.03,22633506.64,23017460.77,22131218.96
Malawi,49984217.91,52804842.99,46155953.69,62925520.09,49454535.91,40793415.43,35748121.99,47416537.07,58369173.44,85181934.95
Malaysia,3854285351,4692483660,4507252007,4915722759,4919245323,4532069852,4169374001,3494832257,3445043720,3265281469
Namibia,396539101.4,443591424.5,412163503.6,389958736.7,537456013.7,518203685.1,425388449.6,456081144.8,455569084.3,414059490
New Caledonia,,,,,,,,,,
Niger,66889841.44,83947561.38,148865779.9,106064286.3,145600369.9,,166192292.3,200183930,229639906.1,247632082.8
Nigeria,1990099669,2384936022,2316478200,2418760171,2357671219,2065557663,1723204266,1621218176,2043051719,1860260430
Nicaragua,44272442.92,51453111.13,70132969.8,74532010.94,81391929.94,98932947.15,85073598.44,86725444.84,81593932.69,76931506.85
Netherlands,11220523280,11647934608,10364720787,10226260325,10332602878,8667849617,9115240932,9580685498,11114927470,12000671742
